Karcher reference,Store_Type,Solution_Type,Store_Size_SQFT,Productivity_SQ_F_PerHour,Cost_Per_Hour_Labour_Only,Address 1,Address 2,Town ,Postcode,location,latitude,longitude,Total_Cleaning_Hours,Cleaning_cost_per_store,Demand,Priority_Level,Resource_Type,Estimated_Service_Time_Hours
1812206878,Convenience Store ,Mobile Solution,6039,1400,£13.77,Petrol Mytholmroy,Burnley Road,Hebden Bridge,HX7 5DE,HX7 5DE,53.7322525,-1.9853971,2.142857143,£29.51,7,Low,Mobile+Robots,5.844928571428572
1812206786,Convenience Store ,Mobile Solution,5897,1400,£13.77,6 Elithorn Terrace,Quernmore Road,Lancaster,LA1 3JT,LA1 3JT,54.0492746,-2.7793607,2.142857143,£29.51,4,Low,Mobile+Robots,5.733357142857144
1812201364,Convenience Store ,Mobile Solution,9252,1400,£13.77,151 Stockport Road,Marple,Stockport,SK6 6DQ,SK6 6DQ,53.3957836,-2.0696623,2.142857143,£29.51,8,Low,Fixed,8.369428571428571
1812201362,Convenience Store ,Mobile Solution,6041,1400,£13.77,206 Heaton Moor Road,,Stockport,SK4 4DU,SK4 4DU,53.4176212,-2.1896742,2.142857143,£29.51,5,Medium,Mobile+Robots,5.846500000000001
1812201403,Convenience Store ,Mobile Solution,4901,1400,£13.77,Manchester House,Bridge Street,Manchester,M3 3BN,M3 3BN,53.4807099,-2.2491132,2.142857143,£29.51,7,Medium,Mobile+Robots,4.950785714285716
1812201384,Convenience Store ,Mobile Solution,2337,1400,£13.77,The Ridgeway,Murdishaw,Runcorn,WA7 6ER,WA7 6ER,53.3238437,-2.6654291,2.142857143,£29.51,3,Low,Mobile,2.936214285714286
1812206989,Convenience Store ,Mobile Solution,2184,1400,£13.77,2 Sandringham Place,,Stourbridge,DY8 5HP,DY8 5HP,52.4752171,-2.1686556,2.142857143,£29.51,7,Medium,Mobile,2.8160000000000003
1812206787,Convenience Store ,Mobile Solution,5426,1400,£13.77,Booker Avenue,,Liverpool,L18 9SB,L18 9SB,53.3707172,-2.905149,2.142857143,£29.51,8,Low,Mobile+Robots,5.363285714285715
1812206976,Convenience Store ,Mobile Solution,2551,1400,£13.77,2 Poachers Way,,Thornton-Cleveleys,FY5 2WF,FY5 2WF,53.8854229,-3.0166264,2.142857143,£29.51,5,Low,Mobile,3.104357142857143
1812206872,Convenience Store ,Mobile Solution,2629,1400,£13.77,Main Street,Symington,Kilmarnock,KA1 5QE,KA1 5QE,55.5497488,-4.5637385,2.142857143,£29.51,4,Low,Mobile,3.165642857142857
1812206778,Convenience Store ,Mobile Solution,2526,1400,£13.77,Petrol Three Peaks,,Carnforth,LA6 3DL,LA6 3DL,54.1456496,-2.469762,2.142857143,£29.51,8,Low,Mobile,3.084714285714286
1812206875,Convenience Store ,Mobile Solution,2361,1400,£13.77,Station Hill,,Bury St. Edmunds,IP31 3QU,IP31 3QU,52.250575,0.8102272,2.142857143,£29.51,8,Low,Mobile,2.955071428571429
1812206188,Convenience Store ,Mobile Solution,5370,1400,£13.77,Hoole Road,,Chester,CH2 3NH,CH2 3NH,53.1993599,-2.8784969,2.142857143,£29.51,3,Low,Mobile+Robots,5.319285714285714
1812206882,Convenience Store ,Mobile Solution,6283,1400,£13.77,Crescent Street,,Cottingham,HU16 5QS,HU16 5QS,53.7828501,-0.4163063,2.142857143,£29.51,6,Low,Mobile+Robots,6.036642857142858
1812206879,Convenience Store ,Mobile Solution,8610,1400,£13.77,Greenwood Avenue,,Hull,HU6 9NA,HU6 9NA,53.7816689,-0.3618331,2.142857143,£29.51,5,Medium,Fixed,7.865000000000001
1812206858,Convenience Store ,Mobile Solution,2993,1400,£13.77,Darley Drive,,Liverpool,L12 8QP,L12 8QP,53.4273493,-2.9024538,2.142857143,£29.51,2,Low,Mobile,3.4516428571428577
1812206863,Convenience Store ,Mobile Solution,1869,1400,£13.77,21-23 Leece Street,,Liverpool,L1 2TR,L1 2TR,53.4021967,-2.9748259,2.142857143,£29.51,8,Low,Mobile,2.5685000000000002
1812206884,Convenience Store ,Mobile Solution,2014,1400,£13.77,30 Knaresborough Road,,Harrogate,HG2 7LU,HG2 7LU,53.9959313,-1.5124752,2.142857143,£29.51,6,Medium,Mobile,2.682428571428572
1812206996,Convenience Store ,Mobile Solution,1602,1400,£13.77,Bembridge Drive,Alvaston,Derby,DE24 0UQ,DE24 0UQ,52.8858194,-1.4154449,2.142857143,£29.51,2,Medium,Mobile,2.3587142857142855
1812206994,Convenience Store ,Mobile Solution,1690,1400,£13.77,Mowbray Street,Epworth,Doncaster,DN9 1HR,DN9 1HR,53.5228747,-0.8191497,2.142857143,£29.51,5,Medium,Mobile,2.4278571428571434
1812206983,Convenience Store ,Mobile Solution,9685,1400,£13.77,Bride Road,,Edinburgh,EH13 0LF,EH13 0LF,55.9076062,-3.2558021,2.142857143,£29.51,1,Low,Fixed,8.709642857142857
1812206973,Convenience Store ,Mobile Solution,1489,1400,£13.77,260 Argyle Street,,Glasgow,G2 8QW,G2 8QW,55.8588723,-4.2603746,2.142857143,£29.51,6,High,Mobile,2.2699285714285717
1812220178,Convenience Store ,Mobile Solution,7864,1400,£13.77,Wilford Green,Wilford,Nottingham,NG11 7AX,NG11 7AX,52.9253797,-1.1572479,2.142857143,£29.51,9,High,Fixed,7.278857142857143
1812206871,Convenience Store ,Mobile Solution,8240,1400,£13.77,Meadow Lane,,Thurso,KW14 8ER,KW14 8ER,58.5946051,-3.5187165,2.142857143,£29.51,1,Medium,Fixed,7.574285714285716
1812206723,Convenience Store ,Mobile Solution,8786,1400,£13.77,Garstang Road,Unit 8 Beacon Retail Centre,Preston,PR3 0PH,PR3 0PH,53.8758885,-2.7602986,2.142857143,£29.51,3,High,Fixed,8.003285714285715
1812206208,Convenience Store ,Mobile Solution,9024,1400,£13.77,Church Road,,Stansted,CM24 8BE,CM24 8BE,51.9016863,0.1993833,2.142857143,£29.51,7,Medium,Fixed,8.190285714285714
1812201355,Convenience Store ,Mobile Solution,1294,1400,£13.77,215 University Boulevard,,Nottingham,NG9 2GJ,NG9 2GJ,52.9329849,-1.2042024,2.142857143,£29.51,4,Low,Mobile,2.116714285714286
1812201353,Convenience Store ,Mobile Solution,6488,1400,£13.77,Alfreton Road,,Sutton-in-Ashfield,NG17 1HU,NG17 1HU,53.1194598,-1.2836494,2.142857143,£29.51,9,High,Mobile+Robots,6.197714285714286
1812201370,Convenience Store ,Mobile Solution,5027,1400,£13.77,10 Gill Bent Road,,Cheadle,SK8 6NB,SK8 6NB,53.3648113,-2.191198,2.142857143,£29.51,3,Low,Mobile+Robots,5.049785714285715
1812201343,Convenience Store ,Mobile Solution,3912,1400,£13.77,758 Wilmslow Road,,Manchester,M20 2DW,M20 2DW,53.4175819,-2.2317432,2.142857143,£29.51,5,High,Mobile+Robots,4.173714285714286
1812201366,Convenience Store ,Mobile Solution,5744,1400,£13.77,59 Dairyground Road,,Stockport,SK7 2QW,SK7 2QW,53.3656613,-2.1570892,2.142857143,£29.51,3,Low,Mobile+Robots,5.613142857142858
1812201346,Convenience Store ,Mobile Solution,2873,1400,£13.77,174-175 Burton Road,,Manchester,M20 2LN,M20 2LN,53.4262885,-2.2425209,2.142857143,£29.51,7,High,Mobile,3.357357142857143
1812201383,Convenience Store ,Mobile Solution,4258,1400,£13.77,Chapel Lane,,Warrington,WA5 4PS,WA5 4PS,53.4302774,-2.6562841,2.142857143,£29.51,5,Low,Mobile+Robots,4.445571428571429
1812201368,Convenience Store ,Mobile Solution,3817,1400,£13.77,136b-c Turves Road,Cheadle Hulme,Cheadle,SK8 6AW,SK8 6AW,53.3734234,-2.2066877,2.142857143,£29.51,9,Low,Mobile+Robots,4.0990714285714285
1812201357,Convenience Store ,Mobile Solution,9636,1400,£13.77,Bramcote Lane,,Nottingham,NG9 4ET,NG9 4ET,52.9220375,-1.2374974,2.142857143,£29.51,7,High,Fixed,8.671142857142858
1812201400,Convenience Store ,Mobile Solution,4641,1400,£13.77,Kingsley Hollow Lane,,Frodsham,WA6 8EF,WA6 8EF,53.2690496,-2.6761521,2.142857143,£29.51,2,Low,Mobile+Robots,4.7465
1812201340,Convenience Store ,Mobile Solution,5458,1400,£13.77,Oxford Road,Manchester Business School,Manchester,M15 6PB,M15 6PB,53.4673781,-2.2369849,2.142857143,£29.51,4,Low,Mobile+Robots,5.388428571428572
1812201347,Convenience Store ,Mobile Solution,6307,1400,£13.77,Stamford Road,,Manchester,M34 5DY,M34 5DY,53.4672697,-2.115724,2.142857143,£29.51,9,Low,Mobile+Robots,6.0555
1812201351,Convenience Store ,Mobile Solution,9933,1400,£13.77,1 Balloon Street,,Manchester,M4 4BE,M4 4BE,53.4858047,-2.2410351,2.142857143,£29.51,2,High,Fixed,8.904499999999999
1812201349,Convenience Store ,Mobile Solution,3041,1400,£13.77,38 High Street,,Manchester,M4 1QB,M4 1QB,53.4827888,-2.2389687,2.142857143,£29.51,9,High,Mobile+Robots,3.489357142857143
1812206060,Convenience Store ,Mobile Solution,1679,1400,£13.77,130 Southdown Road,,Harpenden,AL5 1PU,AL5 1PU,51.8071677,-0.3430697,2.142857143,£29.51,5,Low,Mobile,2.4192142857142858
